"2018-12","refined","12480","8499","3697","284"
"2018-11","refined","14800","11159","3522","119"
"2018-10","refined","14650","10501","4036","113"
"2018-09","refined","15086","9918","4976","192"
"2018-08","refined","19367","13097","5822","448"
"2018-07","refined","16580","10871","5234","475"
"2018-06","refined","14756","10253","4365","138"
"2018-05","refined","11657","7593","3877","187"
"2018-04","refined","8552","5952","2373","227"
"2018-03","refined","8203","6047","1962","194"
"2018-02","refined","6559","4426","1921","212"
"2018-01","refined","7349","5662","1491","196"
"2017-12","refined","7055","4882","1908","265"
"2017-11","refined","8212","5794","2242","176"
"2017-10","refined","7958","5434","2285","239"
"2017-09","refined","9423","5278","3712","433"
"2017-08","refined","9999","2699","7079","221"
"2017-07","refined","4893","2063","2710","120"
"2017-06","refined","3297","1543","1529","225"
"2017-05","refined","3571","1313","1989","269"
"2017-04","refined","3545","1398","1983","164"
"2017-03","refined","4507","1261","2974","272"
"2017-02","refined","5313","483","4559","271"
"2017-01","refined","3670","443","3046","181"
"2016-12","refined","3314","360","2672","282"
"2016-11","refined","2589","158","2240","191"
"2016-10","refined","1968","","1754","214"
"2016-09","refined","1499","","1323","176"
"2016-08","refined","1663","","1399","264"
"2016-07","refined","2761","","2562","199"
"2016-06","refined","2088","","1888","200"
